Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Usar prodcucción,Proveedor,Costo de compra,Disponibles para la venta [Obrador Roig],Precio [Obrador Roig],En inventario [Obrador Roig],Existencias bajas [Obrador Roig],Stock óptimo [Obrador Roig],"impuesto - ""IVA 4%"" (4%)","impuesto - ""IVA 10%"" (10%)"
entrepà-pernil-serrà-gran,10131,Entrepà pernil salat gran,entrepà,,N,,,,,,,0.00,,,,N,,,,Y,5.80,,,,N,Y
entrepà-pernil-serrà-mini,10132,Entrepà pernil salat mini,entrepà,,N,,,,,,,0.00,,,,N,,,,Y,3.20,,,,N,Y
entrepa-petit-tonyina,10186,Entrepà petit tonyina,entrepà,,N,,,,,,,3.00,,,,N,,,,Y,3.00,,,,Y,Y
escriba-dream-butter-crisp,10274,Escriba Dream Butter Crisp,DZ,,N,,,,,,,0.00,,,,N,,,,Y,4.50,,,,N,Y
escriba-dreams-catanies,10273,Escriba Dreams catanies,DZ,,N,,,,,,,0.00,,,,N,,,,Y,5.00,,,,N,Y
espelmes,10146,Espelma no comestible,DZ,,N,,,,,,,0.00,,,,N,,,,Y,2.00,,,,N,Y
espelma-xocolata-petita,10312,Espelma xoco,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,4.00,,,,N,Y
ou-paret-elsa-/-spiderman-240-gr,10061,Estoig ou paret Elsa / Spiderman 240 gr,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,35.00,,,,N,Y
personatge-145-gr-xoco,10030,Estoig Personatge 145 gr xoco,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,14.50,,,,N,Y
estrelles-nadal-farcides-xoco-pack-175-gr,10280,Estrelles Nadal farcides Xoco pack 175 gr,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,6.50,,,,N,Y
estrelles-xoco-300-gr,10065,Estrelles xoco 300 gr,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,8.50,,,,N,Y
farina-1-kg,10149,Farina Eur/kg,pa,,Y,,,,,,,0.00,,,,N,,,,Y,1.60,,,,Y,N
farina-espelta-eco,10496,Farina Eur/kg Espelta Eco,pa especialitat,,Y,,,,,,,0.00,,,,N,,,,Y,3.95,,,,Y,N
fer-forma-número-coca,10266,Fer forma número coca,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
figura-125gr-animal-xoco,10152,Figura 125gr animal xoco,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,14.50,,,,N,Y
figura-surtida-60gr,10418,Figura surtida xoco 45 / 60gr,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,5.50,,,,N,Y
figura-xoco-celofan-50gr,10141,Figura xoco celofan 50gr,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,10.00,,,,N,Y
figura-xoco-mona-mic,10197,Figura xoco mona Mic,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,32.50,,,,N,Y
figura-xoco-mona-pasqua,10120,Figura xoco mona Pasqua,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,variable,,,,N,Y
flor-poma-full-diada-sant-jordi,10023,Flor poma full diada Sant Jordi,DZ,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
vitazen-té-matcha,10461,Frappé cafè / Chai / Vitazen Té Matcha,cafè,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,Y,N
full-de-rosa,10182,Full de rosa,pastisseria SR,,N,,,,,,,3.90,,,,N,,,,Y,3.90,,,,Y,Y
futbol-pack-pilota-figura-xoco,10232,Futbol pack pilota figura xoco,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,42.00,,,,N,Y
teules-de-coco-pack,10254,Galeta coco,DZ,,N,,,,,,,0.00,,,,N,,,,Y,0.40,,,,N,Y
galeta-cookie-50g-no-gluten-(sense),10173,Galeta Cookie 50g No gluten (sense),Sense gluten,,N,,,,,,,0.00,,,,N,,,,Y,2.60,,,,N,Y
galeta-cor,10092,Galeta cor,Sant Valentí,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
galeta-halloween,10494,Galeta diada Sant Jordi,Alex,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
galeta-halloween-terrorifica,10206,Galeta halloween terrorifica,Alex,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
galeta-mantega-ratllada,10498,Galeta mantega ratllada,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,1.85,,,,N,Y
galeta-matcha/cacao,10192,Galeta matcha/cacao,,,N,,,,,,,0.00,,,,N,,,,Y,1.00,,,,Y,Y
galeta-no-sucre-avena-poma-/-xoco,10444,Galeta no sucre,Blasetti,,N,,,,,,,0.00,,,,N,,,,Y,0.70,,,,N,Y
galetes-arbres-nadal-200-gr,10020,Galetes arbres Nadal 200 gr,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,6.50,,,,N,Y
galetes-nadal,10133,Galetes Nadal,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,1.00,,,,Y,N
gallina-200-gr,10248,Gallina gran gegant 200 gr,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,22.00,,,,N,Y
gel-hielo,10125,Gel hielo,cafè,,N,,,,,,,0.00,,,,N,,,,Y,0.10,,,,N,Y
got-de-llet,10150,Got de llet,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.10,,,,N,Y
got-de-llet-+-nesquik,10151,Got de llet + Nesquik,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.35,,,,N,Y
gra-cafe-granel-xoco,10048,Gra cafe granel xoco,Nadal,,Y,,,,,,,0.00,,,,N,,,,Y,59.00,,,,N,Y
grageas-lacasitos,10480,Grageas lacasitos,brioixeria SR,,Y,,,,,,,0.00,,,,N,,,,Y,45.00,,,,N,Y
granel-xocos,10170,Granel xocos Artesa variat,DZ,,Y,,,,,,,0.00,,,,N,,,,Y,58.00,,,,N,Y
happy-holidays-belgium-chocolates,10303,Happy Holidays Belgium Chocolates Reno + Papa Noel,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,8.95,,,,N,Y
huevera-ouera-simon-coll,10377,Huevera ouera pack Pasqua,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,14.95,,,,N,Y
braç-gitano-senyera-petit,10054,Individual bracet gitano senyera,Diada,,N,,,,,,,0.00,,,,N,,,,Y,6.50,,,,N,Y
infusions,10157,Infusió / Tè,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.90,,,,N,Y
